WKT,id,name,alt_name,latitude,longitude
"POINT (96.7286727 4.6916024)",11.0,ACEH,ACEH,4.6916024,96.7286727
"POINT (99.5240422 2.1978388)",12.0,SUMATERA UTARA,SUMATERA UTARA,2.1978388,99.5240422
"POINT (100.8066904 -0.7106206)",13.0,SUMATERA BARAT,SUMATERA BARAT,-0.7106206,100.8066904
"POINT (101.7068816 0.3575924)",14.0,RIAU,RIAU,0.3575924,101.7068816
"POINT (102.4336282 -1.4468281)",15.0,JAMBI,JAMBI,-1.4468281,102.4336282
"POINT (103.8898104 -3.2418674)",16.0,SUMATERA SELATAN,SUMATERA SELATAN,-3.2418674,103.8898104
"POINT (102.3382262 -3.5789932)",17.0,BENGKULU,BENGKULU,-3.5789932,102.3382262
"POINT (105.3678833 -4.5543522)",18.0,LAMPUNG,LAMPUNG,-4.5543522,105.3678833
"POINT (106.4084038 -2.7193486)",19.0,KEPULAUAN BANGKA BELITUNG,KEPULAUAN BANGKA BELITUNG,-2.7193486,106.4084038
"POINT (104.58037 -0.15478)",21.0,KEPULAUAN RIAU,KEPULAUAN RIAU,-0.15478,104.58037
